Sample	Celltype	Chromosome	Strand	Start	End	EF
FS185_nucl	CD4T	chr14	+	70000000	75000000	1.3308361930372943
FS185_nucl	CD4T	chr14	+	75000000	80000000	1.265104126237313
FS185_nucl	CD4T	chr14	+	90000000	95000000	1.4813530996227573
FS185_nucl	CD4T	chr14	+	95000000	100000000	1.3479836887242453
FS185_nucl	CD4T	chr14	+	100000000	105000000	1.8662191139298892
FS185_nucl	CD4T	chr14	-	20000000	25000000	1.2721119182368688
FS185_nucl	CD4T	chr14	-	50000000	55000000	1.116790388145027
FS185_nucl	CD4T	chr14	-	60000000	65000000	1.1320366733074163
FS185_nucl	CD4T	chr14	-	65000000	70000000	1.2216085986364544
FS185_nucl	CD4T	chr14	-	70000000	75000000	1.2911697746898565
FS185_nucl	CD4T	chr14	-	75000000	80000000	1.2892639890445574
FS185_nucl	CD4T	chr14	-	90000000	95000000	1.455067340185543
FS185_nucl	CD4T	chr14	-	95000000	100000000	1.3712127717924005
FS185_nucl	CD4T	chr14	-	100000000	105000000	1.8381302548905751
FS185_nucl	CD4T	chr14	-	105000000	107043718	1.109167245563829
FS185_nucl	CD4T	chr15	+	25000000	30000000	1.0459972369040436
FS185_nucl	CD4T	chr15	+	40000000	45000000	1.4070472849793008
FS185_nucl	CD4T	chr15	+	55000000	60000000	1.0688605644866456
FS185_nucl	CD4T	chr15	+	60000000	65000000	1.217472193773559
FS185_nucl	CD4T	chr15	+	65000000	70000000	1.45372657879378
FS185_nucl	CD4T	chr15	+	70000000	75000000	1.4356264444575522
FS185_nucl	CD4T	chr15	+	75000000	80000000	1.3908524279416241
FS185_nucl	CD4T	chr15	+	80000000	85000000	1.1088713877561993
FS185_nucl	CD4T	chr15	+	85000000	90000000	1.1993720594373323
FS185_nucl	CD4T	chr15	+	90000000	95000000	1.2250933029677593
FS185_nucl	CD4T	chr15	+	100000000	101991189	1.3855981745477228
FS185_nucl	CD4T	chr15	-	25000000	30000000	1.0434176408010276
FS185_nucl	CD4T	chr15	-	40000000	45000000	1.5322516588201371
FS185_nucl	CD4T	chr15	-	55000000	60000000	1.0681928541899106
FS185_nucl	CD4T	chr15	-	60000000	65000000	1.2444780263800386
FS185_nucl	CD4T	chr15	-	65000000	70000000	1.396940878003933
FS185_nucl	CD4T	chr15	-	70000000	75000000	1.4436326263137491
FS185_nucl	CD4T	chr15	-	75000000	80000000	1.6084830846320828
FS185_nucl	CD4T	chr15	-	80000000	85000000	1.0872507106428975
FS185_nucl	CD4T	chr15	-	85000000	90000000	1.1825399929078315
FS185_nucl	CD4T	chr15	-	90000000	95000000	1.2930755603351545
FS185_nucl	CD4T	chr15	-	95000000	100000000	1.0262655699933396
FS185_nucl	CD4T	chr15	-	100000000	101991189	1.2352889880078644
FS185_nucl	CD4T	chr16	+	0	5000000	2.263469430677593
FS185_nucl	CD4T	chr16	+	5000000	10000000	1.1441190177793774
FS185_nucl	CD4T	chr16	+	10000000	15000000	1.3508416046720706
FS185_nucl	CD4T	chr16	+	20000000	25000000	1.2565303783938375
FS185_nucl	CD4T	chr16	+	25000000	30000000	1.356557436567721
FS185_nucl	CD4T	chr16	+	50000000	55000000	1.149834849675028
FS185_nucl	CD4T	chr16	+	55000000	60000000	1.3527468819706194
FS185_nucl	CD4T	chr16	+	65000000	70000000	1.6071014013270664
FS185_nucl	CD4T	chr16	+	70000000	75000000	1.2012773367358824
FS185_nucl	CD4T	chr16	+	75000000	80000000	1.0707658417851957
FS185_nucl	CD4T	chr16	+	80000000	85000000	1.3832313187474239
FS185_nucl	CD4T	chr16	+	85000000	90000000	2.1243841878834324
FS185_nucl	CD4T	chr16	-	0	5000000	2.3422105580720674
FS185_nucl	CD4T	chr16	-	5000000	10000000	1.1644350292774939
FS185_nucl	CD4T	chr16	-	10000000	15000000	1.3797888071962447
FS185_nucl	CD4T	chr16	-	15000000	20000000	1.0224539987027421
FS185_nucl	CD4T	chr16	-	20000000	25000000	1.1987391708928703
FS185_nucl	CD4T	chr16	-	25000000	30000000	1.40075244929453
FS185_nucl	CD4T	chr16	-	45000000	50000000	1.0672399613672614
FS185_nucl	CD4T	chr16	-	50000000	55000000	1.1663408149227927
FS185_nucl	CD4T	chr16	-	55000000	60000000	1.3359557373543745
FS185_nucl	CD4T	chr16	-	65000000	70000000	1.6056244061641365
FS185_nucl	CD4T	chr16	-	70000000	75000000	1.1453771728245072
FS185_nucl	CD4T	chr16	-	75000000	80000000	1.0929680675787936
FS185_nucl	CD4T	chr16	-	80000000	85000000	1.3235681306599334
FS185_nucl	CD4T	chr16	-	85000000	90000000	1.9934517849824147
FS185_nucl	CD4T	chr17	+	0	5000000	1.8576453660864118
FS185_nucl	CD4T	chr17	+	5000000	10000000	1.8014396857791835
FS185_nucl	CD4T	chr17	+	10000000	15000000	1.084102782875047
FS185_nucl	CD4T	chr17	+	15000000	20000000	1.365131184411196
FS185_nucl	CD4T	chr17	+	30000000	35000000	1.3136886973503425
FS185_nucl	CD4T	chr17	+	35000000	40000000	1.4537265787937783
FS185_nucl	CD4T	chr17	+	40000000	45000000	1.8195398201154087
FS185_nucl	CD4T	chr17	+	45000000	50000000	1.4575371333908795
FS185_nucl	CD4T	chr17	+	50000000	55000000	1.1517401269735767
FS185_nucl	CD4T	chr17	+	55000000	60000000	1.263198848938763
FS185_nucl	CD4T	chr17	+	60000000	65000000	1.240335521356161
FS185_nucl	CD4T	chr17	+	65000000	70000000	1.2317617735126851
FS185_nucl	CD4T	chr17	+	70000000	75000000	1.3451257727764188
FS185_nucl	CD4T	chr17	+	75000000	80000000	2.100568221651556
FS185_nucl	CD4T	chr17	+	80000000	83257441	2.1515074717729723
FS185_nucl	CD4T	chr17	-	0	5000000	1.7904856137581067
FS185_nucl	CD4T	chr17	-	5000000	10000000	1.7047252597196674
FS185_nucl	CD4T	chr17	-	10000000	15000000	1.1301308876621177
FS185_nucl	CD4T	chr17	-	15000000	20000000	1.4293392339740092
FS185_nucl	CD4T	chr17	-	30000000	35000000	1.2892639890445576
FS185_nucl	CD4T	chr17	-	35000000	40000000	1.4722194109932285
FS185_nucl	CD4T	chr17	-	40000000	45000000	1.7304533659311996
FS185_nucl	CD4T	chr17	-	45000000	50000000	1.5894252281790981
FS185_nucl	CD4T	chr17	-	55000000	60000000	1.265441668478324
FS185_nucl	CD4T	chr17	-	60000000	65000000	1.2139854560552599
FS185_nucl	CD4T	chr17	-	65000000	70000000	1.223514384281753
FS185_nucl	CD4T	chr17	-	70000000	75000000	1.2625829900103749
FS185_nucl	CD4T	chr17	-	75000000	80000000	2.1678311715272414
FS185_nucl	CD4T	chr17	-	80000000	83257441	2.288500314055734
FS185_nucl	CD4T	chr18	+	5000000	10000000	1.0355182117620176
FS185_nucl	CD4T	chr18	+	10000000	15000000	1.0640973712402704
FS185_nucl	CD4T	chr18	+	35000000	40000000	1.0155128001272409
FS185_nucl	CD4T	chr18	+	45000000	50000000	1.3327414703358442
FS185_nucl	CD4T	chr18	+	55000000	60000000	1.061239455292445
FS185_nucl	CD4T	chr18	+	75000000	80000000	1.2889200924691901
FS185_nucl	CD4T	chr18	+	80000000	80373285	1.0080562210205555
FS185_nucl	CD4T	chr18	-	5000000	10000000	1.0434176408010276
FS185_nucl	CD4T	chr18	-	10000000	15000000	1.0767688895937546
FS185_nucl	CD4T	chr18	-	35000000	40000000	1.0033961422497555
FS185_nucl	CD4T	chr18	-	45000000	50000000	1.3426259871129198
FS185_nucl	CD4T	chr18	-	55000000	60000000	1.0491349977369238
FS185_nucl	CD4T	chr18	-	75000000	80000000	1.2616300971877261
FS185_nucl	CD4T	chr19	+	0	5000000	2.484481597309407
FS185_nucl	CD4T	chr19	+	5000000	10000000	1.9205195169385672
FS185_nucl	CD4T	chr19	+	10000000	15000000	1.9814883904921712
FS185_nucl	CD4T	chr19	+	15000000	20000000	2.049125734590702
FS185_nucl	CD4T	chr19	+	30000000	35000000	1.434673805808278
FS185_nucl	CD4T	chr19	+	35000000	40000000	1.8090607949733815
FS185_nucl	CD4T	chr19	+	40000000	45000000	1.743328728173402
FS185_nucl	CD4T	chr19	+	45000000	50000000	2.220600691460214
FS185_nucl	CD4T	chr19	+	50000000	55000000	1.6709281908284965
FS185_nucl	CD4T	chr19	+	55000000	58617616	1.7228556151530692
FS185_nucl	CD4T	chr19	-	0	5000000	2.492767624050659
FS185_nucl	CD4T	chr19	-	5000000	10000000	1.9715352500614791
FS185_nucl	CD4T	chr19	-	10000000	15000000	2.047766675873425
FS185_nucl	CD4T	chr19	-	15000000	20000000	2.1573493504780985
FS185_nucl	CD4T	chr19	-	30000000	35000000	1.4665020540573341
FS185_nucl	CD4T	chr19	-	35000000	40000000	1.801920327629897
FS185_nucl	CD4T	chr19	-	40000000	45000000	1.695196331493174
FS185_nucl	CD4T	chr19	-	45000000	50000000	2.259308882501576
FS185_nucl	CD4T	chr19	-	50000000	55000000	1.5570268722090208
FS185_nucl	CD4T	chr19	-	55000000	58617616	1.6539207502847495
FS185_nucl	CD4T	chr2	+	0	5000000	1.218424832422834
FS185_nucl	CD4T	chr2	+	5000000	10000000	1.2031826140344326
FS185_nucl	CD4T	chr2	+	10000000	15000000	1.1536454042721278
FS185_nucl	CD4T	chr2	+	15000000	20000000	1.0240865479707166
FS185_nucl	CD4T	chr2	+	20000000	25000000	1.1069661104576491
FS185_nucl	CD4T	chr2	+	25000000	30000000	1.5813801577966404
FS185_nucl	CD4T	chr2	+	30000000	35000000	1.0307550185156422
FS185_nucl	CD4T	chr2	+	40000000	45000000	1.1441190177793772
FS185_nucl	CD4T	chr2	+	45000000	50000000	1.1336399926373515
FS185_nucl	CD4T	chr2	+	60000000	65000000	1.0926765307185229
FS185_nucl	CD4T	chr2	+	65000000	70000000	1.0078916909330402
FS185_nucl	CD4T	chr2	+	70000000	75000000	1.464205603935806
FS185_nucl	CD4T	chr2	+	95000000	100000000	1.2298564962141338
FS185_nucl	CD4T	chr2	+	100000000	105000000	1.097439723964898
FS185_nucl	CD4T	chr2	+	115000000	120000000	1.0031284976866646
FS185_nucl	CD4T	chr2	+	120000000	125000000	1.1412611018315517
FS185_nucl	CD4T	chr2	+	125000000	130000000	1.2012773367358824
FS185_nucl	CD4T	chr2	+	170000000	175000000	1.0660026485388205
FS185_nucl	CD4T	chr2	+	200000000	205000000	1.1107766650547495
FS185_nucl	CD4T	chr2	+	215000000	220000000	1.437531721756103
FS185_nucl	CD4T	chr2	+	230000000	235000000	1.4565844947416053
FS185_nucl	CD4T	chr2	+	235000000	240000000	1.5699484940053392
FS185_nucl	CD4T	chr2	+	240000000	242193529	1.7936711440028634
FS185_nucl	CD4T	chr2	-	0	5000000	1.194927599602273
FS185_nucl	CD4T	chr2	-	5000000	10000000	1.214938348877909
FS185_nucl	CD4T	chr2	-	10000000	15000000	1.1406127087112599
FS185_nucl	CD4T	chr2	-	20000000	25000000	1.1387069230659619
FS185_nucl	CD4T	chr2	-	25000000	30000000	1.5112880167218532
FS185_nucl	CD4T	chr2	-	30000000	35000000	1.0739102111258068
FS185_nucl	CD4T	chr2	-	35000000	40000000	1.0091134991856514
FS185_nucl	CD4T	chr2	-	40000000	45000000	1.0967796388693907
FS185_nucl	CD4T	chr2	-	45000000	50000000	1.1634821364548447
FS185_nucl	CD4T	chr2	-	60000000	65000000	1.1101201383864816
FS185_nucl	CD4T	chr2	-	65000000	70000000	1.0281713556386383
FS185_nucl	CD4T	chr2	-	70000000	75000000	1.410281377521024
FS185_nucl	CD4T	chr2	-	95000000	100000000	1.2063623134740644
FS185_nucl	CD4T	chr2	-	100000000	105000000	1.0176895345894956
FS185_nucl	CD4T	chr2	-	105000000	110000000	1.0367473910424825
FS185_nucl	CD4T	chr2	-	120000000	125000000	1.143471387179208
FS185_nucl	CD4T	chr2	-	125000000	130000000	1.1206019594356245
FS185_nucl	CD4T	chr2	-	170000000	175000000	1.057711033140768
FS185_nucl	CD4T	chr2	-	200000000	205000000	1.1244135307262217
FS185_nucl	CD4T	chr2	-	215000000	220000000	1.4283863411513609
FS185_nucl	CD4T	chr2	-	230000000	235000000	1.5398748014013337
FS185_nucl	CD4T	chr2	-	235000000	240000000	1.6380227621342158
FS185_nucl	CD4T	chr2	-	240000000	242193529	1.7793843131602198
FS185_nucl	CD4T	chr20	+	0	5000000	1.4975479566604342
FS185_nucl	CD4T	chr20	+	15000000	20000000	1.0764816736808462
FS185_nucl	CD4T	chr20	+	20000000	25000000	1.1593612361677788
FS185_nucl	CD4T	chr20	+	30000000	35000000	1.4527739401445046
FS185_nucl	CD4T	chr20	+	35000000	40000000	1.5909065442893922
FS185_nucl	CD4T	chr20	+	40000000	45000000	1.3270256384401935
FS185_nucl	CD4T	chr20	+	45000000	50000000	1.5432746118256382
FS185_nucl	CD4T	chr20	+	50000000	55000000	1.4079999236285758
FS185_nucl	CD4T	chr20	+	55000000	60000000	1.3946629825387247
FS185_nucl	CD4T	chr20	+	60000000	64444167	1.8662025236121675
FS185_nucl	CD4T	chr20	-	0	5000000	1.519864052125698
FS185_nucl	CD4T	chr20	-	15000000	20000000	1.0596168187860666
FS185_nucl	CD4T	chr20	-	20000000	25000000	1.1387069230659619
FS185_nucl	CD4T	chr20	-	30000000	35000000	1.3940821995359847
FS185_nucl	CD4T	chr20	-	35000000	40000000	1.5913310138243972
FS185_nucl	CD4T	chr20	-	40000000	45000000	1.2921226675125055
FS185_nucl	CD4T	chr20	-	45000000	50000000	1.613247548745333
FS185_nucl	CD4T	chr20	-	50000000	55000000	1.292122667512505
FS185_nucl	CD4T	chr20	-	55000000	60000000	1.3997995564718806
FS185_nucl	CD4T	chr20	-	60000000	64444167	1.9189972923493457
FS185_nucl	CD4T	chr21	+	30000000	35000000	1.2584356556923877
FS185_nucl	CD4T	chr21	+	35000000	40000000	1.2412881600054362
FS185_nucl	CD4T	chr21	+	40000000	45000000	1.4718267131300053
FS185_nucl	CD4T	chr21	+	45000000	46709983	1.6407148311781863
FS185_nucl	CD4T	chr21	-	30000000	35000000	1.1844457785531302
FS185_nucl	CD4T	chr21	-	35000000	40000000	1.2463838120253372
FS185_nucl	CD4T	chr21	-	40000000	45000000	1.4874656961556196
FS185_nucl	CD4T	chr21	-	45000000	46709983	1.8773449032667673
FS185_nucl	CD4T	chr22	+	15000000	20000000	1.005986413634488
FS185_nucl	CD4T	chr22	+	20000000	25000000	1.5232692001908605
FS185_nucl	CD4T	chr22	+	25000000	30000000	1.407047284979301
FS185_nucl	CD4T	chr22	+	30000000	35000000	1.434673805808278
FS185_nucl	CD4T	chr22	+	35000000	40000000	1.9128984077443676
FS185_nucl	CD4T	chr22	+	40000000	45000000	1.8404978703994612
FS185_nucl	CD4T	chr22	+	45000000	50000000	1.8605032820342386
FS185_nucl	CD4T	chr22	+	50000000	50818468	2.1140103015410516
FS185_nucl	CD4T	chr22	-	20000000	25000000	1.5398748014013333
FS185_nucl	CD4T	chr22	-	25000000	30000000	1.4388681622005042
FS185_nucl	CD4T	chr22	-	30000000	35000000	1.3483433440488168
FS185_nucl	CD4T	chr22	-	35000000	40000000	1.9877344280465188
FS185_nucl	CD4T	chr22	-	40000000	45000000	1.7866740424675107
FS185_nucl	CD4T	chr22	-	45000000	50000000	1.8724343965059504
FS185_nucl	CD4T	chr22	-	50000000	50818468	2.241072038418416
FS185_nucl	CD4T	chr3	+	5000000	10000000	1.0269444639185419
FS185_nucl	CD4T	chr3	+	10000000	15000000	1.6271068129618442
FS185_nucl	CD4T	chr3	+	35000000	40000000	1.115539858301125
FS185_nucl	CD4T	chr3	+	40000000	45000000	1.2250933029677598
FS185_nucl	CD4T	chr3	+	45000000	50000000	1.6852177705676232
FS185_nucl	CD4T	chr3	+	50000000	55000000	1.529937670735785
FS185_nucl	CD4T	chr3	+	55000000	60000000	1.1669823453619794
FS185_nucl	CD4T	chr3	+	120000000	125000000	1.1831772023996558
FS185_nucl	CD4T	chr3	+	125000000	130000000	1.5604221075125895
FS185_nucl	CD4T	chr3	+	130000000	135000000	1.0383761277098429
FS185_nucl	CD4T	chr3	+	135000000	140000000	1.1326873539880764
FS185_nucl	CD4T	chr3	+	140000000	145000000	1.0326602958141924
FS185_nucl	CD4T	chr3	+	180000000	185000000	1.1136345810025747
FS185_nucl	CD4T	chr3	+	185000000	190000000	1.0488551528518688
FS185_nucl	CD4T	chr3	+	190000000	195000000	1.0012232203881146
FS185_nucl	CD4T	chr3	+	195000000	198295559	1.3748070484495736
