Sample	Celltype	Chromosome	Strand	Start	End	EF
FS185_nucl	CD4T	chr17	-	80000000	83257441	2.288500314055734
FS185_nucl	CD4T	chr18	+	45000000	50000000	1.3327414703358442
FS185_nucl	CD4T	chr18	+	75000000	80000000	1.2889200924691901
FS185_nucl	CD4T	chr18	-	45000000	50000000	1.3426259871129198
FS185_nucl	CD4T	chr18	-	75000000	80000000	1.2616300971877261
FS185_nucl	CD4T	chr19	+	0	5000000	2.484481597309407
FS185_nucl	CD4T	chr19	+	5000000	10000000	1.9205195169385672
FS185_nucl	CD4T	chr19	+	10000000	15000000	1.9814883904921712
FS185_nucl	CD4T	chr19	+	15000000	20000000	2.049125734590702
FS185_nucl	CD4T	chr19	+	30000000	35000000	1.434673805808278
FS185_nucl	CD4T	chr19	+	35000000	40000000	1.8090607949733815
FS185_nucl	CD4T	chr19	+	40000000	45000000	1.743328728173402
FS185_nucl	CD4T	chr19	+	45000000	50000000	2.220600691460214
FS185_nucl	CD4T	chr19	+	50000000	55000000	1.6709281908284965
FS185_nucl	CD4T	chr19	+	55000000	58617616	1.7228556151530692
FS185_nucl	CD4T	chr19	-	0	5000000	2.492767624050659
FS185_nucl	CD4T	chr19	-	5000000	10000000	1.9715352500614791
FS185_nucl	CD4T	chr19	-	10000000	15000000	2.047766675873425
FS185_nucl	CD4T	chr19	-	15000000	20000000	2.1573493504780985
FS185_nucl	CD4T	chr19	-	30000000	35000000	1.4665020540573341
FS185_nucl	CD4T	chr19	-	35000000	40000000	1.801920327629897
FS185_nucl	CD4T	chr19	-	40000000	45000000	1.695196331493174
FS185_nucl	CD4T	chr19	-	45000000	50000000	2.259308882501576
FS185_nucl	CD4T	chr19	-	50000000	55000000	1.5570268722090208
FS185_nucl	CD4T	chr19	-	55000000	58617616	1.6539207502847495
FS185_nucl	CD4T	chr2	+	0	5000000	1.218424832422834
FS185_nucl	CD4T	chr2	+	5000000	10000000	1.2031826140344326
FS185_nucl	CD4T	chr2	+	25000000	30000000	1.5813801577966404
FS185_nucl	CD4T	chr2	+	70000000	75000000	1.464205603935806
FS185_nucl	CD4T	chr2	+	95000000	100000000	1.2298564962141338
FS185_nucl	CD4T	chr2	+	125000000	130000000	1.2012773367358824
FS185_nucl	CD4T	chr2	+	215000000	220000000	1.437531721756103
FS185_nucl	CD4T	chr2	+	230000000	235000000	1.4565844947416053
FS185_nucl	CD4T	chr2	+	235000000	240000000	1.5699484940053392
FS185_nucl	CD4T	chr2	+	240000000	242193529	1.7936711440028634
FS185_nucl	CD4T	chr2	-	5000000	10000000	1.214938348877909
FS185_nucl	CD4T	chr2	-	25000000	30000000	1.5112880167218532
FS185_nucl	CD4T	chr2	-	70000000	75000000	1.410281377521024
FS185_nucl	CD4T	chr2	-	95000000	100000000	1.2063623134740644
FS185_nucl	CD4T	chr2	-	215000000	220000000	1.4283863411513609
FS185_nucl	CD4T	chr2	-	230000000	235000000	1.5398748014013337
FS185_nucl	CD4T	chr2	-	235000000	240000000	1.6380227621342158
FS185_nucl	CD4T	chr2	-	240000000	242193529	1.7793843131602198
FS185_nucl	CD4T	chr20	+	0	5000000	1.4975479566604342
FS185_nucl	CD4T	chr20	+	30000000	35000000	1.4527739401445046
FS185_nucl	CD4T	chr20	+	35000000	40000000	1.5909065442893922
FS185_nucl	CD4T	chr20	+	40000000	45000000	1.3270256384401935
FS185_nucl	CD4T	chr20	+	45000000	50000000	1.5432746118256382
FS185_nucl	CD4T	chr20	+	50000000	55000000	1.4079999236285758
FS185_nucl	CD4T	chr20	+	55000000	60000000	1.3946629825387247
FS185_nucl	CD4T	chr20	+	60000000	64444167	1.8662025236121675
FS185_nucl	CD4T	chr20	-	0	5000000	1.519864052125698
FS185_nucl	CD4T	chr20	-	30000000	35000000	1.3940821995359847
FS185_nucl	CD4T	chr20	-	35000000	40000000	1.5913310138243972
FS185_nucl	CD4T	chr20	-	40000000	45000000	1.2921226675125055
FS185_nucl	CD4T	chr20	-	45000000	50000000	1.613247548745333
FS185_nucl	CD4T	chr20	-	50000000	55000000	1.292122667512505
FS185_nucl	CD4T	chr20	-	55000000	60000000	1.3997995564718806
FS185_nucl	CD4T	chr20	-	60000000	64444167	1.9189972923493457
FS185_nucl	CD4T	chr21	+	30000000	35000000	1.2584356556923877
FS185_nucl	CD4T	chr21	+	35000000	40000000	1.2412881600054362
FS185_nucl	CD4T	chr21	+	40000000	45000000	1.4718267131300053
FS185_nucl	CD4T	chr21	+	45000000	46709983	1.6407148311781863
FS185_nucl	CD4T	chr21	-	35000000	40000000	1.2463838120253372
FS185_nucl	CD4T	chr21	-	40000000	45000000	1.4874656961556196
FS185_nucl	CD4T	chr21	-	45000000	46709983	1.8773449032667673
FS185_nucl	CD4T	chr22	+	20000000	25000000	1.5232692001908605
FS185_nucl	CD4T	chr22	+	25000000	30000000	1.407047284979301
FS185_nucl	CD4T	chr22	+	30000000	35000000	1.434673805808278
FS185_nucl	CD4T	chr22	+	35000000	40000000	1.9128984077443676
FS185_nucl	CD4T	chr22	+	40000000	45000000	1.8404978703994612
FS185_nucl	CD4T	chr22	+	45000000	50000000	1.8605032820342386
FS185_nucl	CD4T	chr22	+	50000000	50818468	2.1140103015410516
FS185_nucl	CD4T	chr22	-	20000000	25000000	1.5398748014013333
FS185_nucl	CD4T	chr22	-	25000000	30000000	1.4388681622005042
FS185_nucl	CD4T	chr22	-	30000000	35000000	1.3483433440488168
FS185_nucl	CD4T	chr22	-	35000000	40000000	1.9877344280465188
FS185_nucl	CD4T	chr22	-	40000000	45000000	1.7866740424675107
FS185_nucl	CD4T	chr22	-	45000000	50000000	1.8724343965059504
FS185_nucl	CD4T	chr22	-	50000000	50818468	2.241072038418416
FS185_nucl	CD4T	chr3	+	10000000	15000000	1.6271068129618442
FS185_nucl	CD4T	chr3	+	40000000	45000000	1.2250933029677598
FS185_nucl	CD4T	chr3	+	45000000	50000000	1.6852177705676232
FS185_nucl	CD4T	chr3	+	50000000	55000000	1.529937670735785
FS185_nucl	CD4T	chr3	+	125000000	130000000	1.5604221075125895
FS185_nucl	CD4T	chr3	+	195000000	198295559	1.3748070484495736
FS185_nucl	CD4T	chr3	-	10000000	15000000	1.5922839066470469
FS185_nucl	CD4T	chr3	-	40000000	45000000	1.200644956538169
FS185_nucl	CD4T	chr3	-	45000000	50000000	1.6065772989867864
FS185_nucl	CD4T	chr3	-	50000000	55000000	1.5446392655145789
FS185_nucl	CD4T	chr3	-	125000000	130000000	1.5503566224504763
FS185_nucl	CD4T	chr3	-	195000000	198295559	1.2823003160953472
FS185_nucl	CD4T	chr4	+	0	5000000	1.8157292655183082
FS185_nucl	CD4T	chr4	+	5000000	10000000	1.5470851664227365
FS185_nucl	CD4T	chr4	-	0	5000000	1.9000682883627789
FS185_nucl	CD4T	chr4	-	5000000	10000000	1.5370161229333839
FS185_nucl	CD4T	chr5	+	0	5000000	1.4413422763532024
FS185_nucl	CD4T	chr5	+	130000000	135000000	1.3403625795300447
FS185_nucl	CD4T	chr5	+	135000000	140000000	1.3517942433213457
FS185_nucl	CD4T	chr5	+	150000000	155000000	1.250814546498186
FS185_nucl	CD4T	chr5	+	170000000	175000000	1.4032367303822004
FS185_nucl	CD4T	chr5	+	175000000	180000000	1.5709011326546143
FS185_nucl	CD4T	chr5	-	0	5000000	1.4626904827667357
FS185_nucl	CD4T	chr5	-	130000000	135000000	1.2359019909761944
FS185_nucl	CD4T	chr5	-	135000000	140000000	1.4140929488116203
FS185_nucl	CD4T	chr5	-	150000000	155000000	1.2778292751727647
FS185_nucl	CD4T	chr5	-	170000000	175000000	1.3855061641321407
FS185_nucl	CD4T	chr5	-	175000000	180000000	1.4969946243821115
FS185_nucl	CD4T	chr6	+	0	5000000	1.2317617735126851
FS185_nucl	CD4T	chr6	+	10000000	15000000	1.218424832422834
FS185_nucl	CD4T	chr6	+	30000000	35000000	1.6594965270371964
FS185_nucl	CD4T	chr6	+	35000000	40000000	1.492784763414058
FS185_nucl	CD4T	chr6	+	40000000	45000000	1.6490175018951714
FS185_nucl	CD4T	chr6	+	165000000	170000000	1.2527198237967372
FS185_nucl	CD4T	chr6	-	0	5000000	1.245430919202688
FS185_nucl	CD4T	chr6	-	30000000	35000000	1.6608921898777982
FS185_nucl	CD4T	chr6	-	35000000	40000000	1.490324374623568
FS185_nucl	CD4T	chr6	-	40000000	45000000	1.6761384750401878
FS185_nucl	CD4T	chr6	-	155000000	160000000	1.2311375268629479
FS185_nucl	CD4T	chr6	-	165000000	170000000	1.2044565278287664
FS185_nucl	CD4T	chr7	+	0	5000000	1.9786304745443446
FS185_nucl	CD4T	chr7	+	70000000	75000000	1.2336670508112346
FS185_nucl	CD4T	chr7	+	100000000	105000000	1.3641785457619204
FS185_nucl	CD4T	chr7	+	150000000	155000000	1.2889200924691893
FS185_nucl	CD4T	chr7	+	155000000	159345973	1.5348930259482816
FS185_nucl	CD4T	chr7	-	0	5000000	1.9477129294952458
FS185_nucl	CD4T	chr7	-	70000000	75000000	1.234949098153544
FS185_nucl	CD4T	chr7	-	100000000	105000000	1.3855061641321382
FS185_nucl	CD4T	chr7	-	130000000	135000000	1.2387606694441426
FS185_nucl	CD4T	chr7	-	150000000	155000000	1.2339962053308946
FS185_nucl	CD4T	chr7	-	155000000	159345973	1.4104765613591608
FS185_nucl	CD4T	chr8	+	20000000	25000000	1.4642056039358045
FS185_nucl	CD4T	chr8	+	25000000	30000000	1.2422407986547113
FS185_nucl	CD4T	chr8	+	140000000	145000000	2.1215262719356067
FS185_nucl	CD4T	chr8	-	20000000	25000000	1.380741700018894
FS185_nucl	CD4T	chr8	-	25000000	30000000	1.24257224073474
FS185_nucl	CD4T	chr8	-	140000000	145000000	2.106846030877683
FS185_nucl	CD4T	chr9	+	85000000	90000000	1.2346196894605106
FS185_nucl	CD4T	chr9	+	90000000	95000000	1.3051149495068668
FS185_nucl	CD4T	chr9	+	95000000	100000000	1.282251621924265
FS185_nucl	CD4T	chr9	+	110000000	115000000	1.2422407986547106
FS185_nucl	CD4T	chr9	+	120000000	125000000	1.3613206298140965
FS185_nucl	CD4T	chr9	+	125000000	130000000	1.8843192482661137
FS185_nucl	CD4T	chr9	+	130000000	135000000	1.9214721555878431
FS185_nucl	CD4T	chr9	+	135000000	138394717	2.183634611739076
FS185_nucl	CD4T	chr9	-	90000000	95000000	1.2216085986364535
FS185_nucl	CD4T	chr9	-	95000000	100000000	1.233996205330896
FS185_nucl	CD4T	chr9	-	110000000	115000000	1.232090419685597
FS185_nucl	CD4T	chr9	-	120000000	125000000	1.395035092358634
FS185_nucl	CD4T	chr9	-	125000000	130000000	1.9153145735251687
FS185_nucl	CD4T	chr9	-	130000000	135000000	2.002027820386258
FS185_nucl	CD4T	chr9	-	135000000	138394717	2.1294031150553496
FS186_nucl	CD4T	chr1	+	5000000	10000000	1.4180060414320088
FS186_nucl	CD4T	chr1	+	10000000	15000000	1.227869528606716
FS186_nucl	CD4T	chr1	+	15000000	20000000	1.435568851853623
FS186_nucl	CD4T	chr1	+	20000000	25000000	1.499711289915167
FS186_nucl	CD4T	chr1	+	25000000	30000000	1.5676717302422787
FS186_nucl	CD4T	chr1	+	30000000	35000000	1.415715240072668
FS186_nucl	CD4T	chr1	+	35000000	40000000	1.468403671337509
FS186_nucl	CD4T	chr1	+	40000000	45000000	1.3477547997455568
FS186_nucl	CD4T	chr1	+	50000000	55000000	1.3592088065422607
FS186_nucl	CD4T	chr1	+	150000000	155000000	1.4821484794935527
FS186_nucl	CD4T	chr1	+	155000000	160000000	1.2019071132008532
FS186_nucl	CD4T	chr1	+	200000000	205000000	1.3531000029173526
FS186_nucl	CD4T	chr1	+	225000000	230000000	1.2538319440125805
FS186_nucl	CD4T	chr1	-	5000000	10000000	1.3668575528151183
FS186_nucl	CD4T	chr1	-	10000000	15000000	1.2555573839857777
FS186_nucl	CD4T	chr1	-	15000000	20000000	1.422507637229788
FS186_nucl	CD4T	chr1	-	20000000	25000000	1.4225076372297882
FS186_nucl	CD4T	chr1	-	25000000	30000000	1.5284714965947057
FS186_nucl	CD4T	chr1	-	30000000	35000000	1.3195930975588224
FS186_nucl	CD4T	chr1	-	35000000	40000000	1.4156466679183903
FS186_nucl	CD4T	chr1	-	40000000	45000000	1.3676198827386072
FS186_nucl	CD4T	chr1	-	50000000	55000000	1.3035841691655627
FS186_nucl	CD4T	chr1	-	110000000	115000000	1.2128669082704155
FS186_nucl	CD4T	chr1	-	150000000	155000000	1.491879660267251
FS186_nucl	CD4T	chr1	-	155000000	160000000	1.2669923328381067
FS186_nucl	CD4T	chr1	-	200000000	205000000	1.3447499850339482
FS186_nucl	CD4T	chr1	-	225000000	230000000	1.242597775286472
FS186_nucl	CD4T	chr10	+	10000000	15000000	1.2813215603246704
FS186_nucl	CD4T	chr10	+	70000000	75000000	1.3729536146983063
FS186_nucl	CD4T	chr10	+	95000000	100000000	1.2187063231693536
FS186_nucl	CD4T	chr10	+	100000000	105000000	1.4050248337290776
FS186_nucl	CD4T	chr10	+	120000000	125000000	1.2164155218100128
FS186_nucl	CD4T	chr10	-	10000000	15000000	1.2784272816904372
FS186_nucl	CD4T	chr10	-	70000000	75000000	1.3638082331211638
FS186_nucl	CD4T	chr10	-	95000000	100000000	1.2296381665871652
FS186_nucl	CD4T	chr10	-	100000000	105000000	1.5162742178188886
FS186_nucl	CD4T	chr11	+	45000000	50000000	1.276739957605987
FS186_nucl	CD4T	chr11	+	60000000	65000000	1.511165296711871
FS186_nucl	CD4T	chr11	+	65000000	70000000	1.5394185134770744
FS186_nucl	CD4T	chr11	+	70000000	75000000	1.214888320903785
FS186_nucl	CD4T	chr11	+	75000000	80000000	1.221760724981808
FS186_nucl	CD4T	chr11	+	115000000	120000000	1.2874303639495792
FS186_nucl	CD4T	chr11	+	120000000	125000000	1.204961515013308
FS186_nucl	CD4T	chr11	-	45000000	50000000	1.2182032177348336
FS186_nucl	CD4T	chr11	-	60000000	65000000	1.4278439466942079
FS186_nucl	CD4T	chr11	-	65000000	70000000	1.497215969731672
FS186_nucl	CD4T	chr11	-	70000000	75000000	1.2479340847508926
FS186_nucl	CD4T	chr11	-	75000000	80000000	1.2349744760515853
FS186_nucl	CD4T	chr11	-	115000000	120000000	1.3051088290125388
FS186_nucl	CD4T	chr11	-	120000000	125000000	1.2525080642918238
FS186_nucl	CD4T	chr12	+	0	5000000	1.2446687385752173
FS186_nucl	CD4T	chr12	+	5000000	10000000	1.2691039530748522
FS186_nucl	CD4T	chr12	+	45000000	50000000	1.307283975730533
FS186_nucl	CD4T	chr12	+	50000000	55000000	1.4363324523067365
FS186_nucl	CD4T	chr12	+	55000000	60000000	1.212597519544443
FS186_nucl	CD4T	chr12	+	105000000	110000000	1.3095747770898756
FS186_nucl	CD4T	chr12	+	110000000	115000000	1.4531316622752357
FS186_nucl	CD4T	chr12	+	115000000	120000000	1.2477231403876714
FS186_nucl	CD4T	chr12	+	120000000	125000000	1.6608309855221406
FS186_nucl	CD4T	chr12	-	0	5000000	1.2875752407723016
FS186_nucl	CD4T	chr12	-	45000000	50000000	1.2380237957455393
FS186_nucl	CD4T	chr12	-	50000000	55000000	1.436229575852583
FS186_nucl	CD4T	chr12	-	55000000	60000000	1.228875836663675
FS186_nucl	CD4T	chr12	-	105000000	110000000	1.2227771972757675
FS186_nucl	CD4T	chr12	-	110000000	115000000	1.3760055118969814
FS186_nucl	CD4T	chr12	-	115000000	120000000	1.2258265169697222
FS186_nucl	CD4T	chr12	-	120000000	125000000	1.6412963252710224
FS186_nucl	CD4T	chr14	+	65000000	70000000	1.228633129059831
FS186_nucl	CD4T	chr14	+	70000000	75000000	1.3515728020111242
FS186_nucl	CD4T	chr14	+	90000000	95000000	1.3454639983862153
FS186_nucl	CD4T	chr14	+	95000000	100000000	1.2095431177319902
FS186_nucl	CD4T	chr14	+	100000000	105000000	1.4034976328228501
FS186_nucl	CD4T	chr14	-	65000000	70000000	1.291386890389744
FS186_nucl	CD4T	chr14	-	70000000	75000000	1.3058711589360272
FS186_nucl	CD4T	chr14	-	75000000	80000000	1.2334498162046081
FS186_nucl	CD4T	chr14	-	90000000	95000000	1.2723286423025284
FS186_nucl	CD4T	chr14	-	100000000	105000000	1.4728214121800367
FS186_nucl	CD4T	chr15	+	40000000	45000000	1.4080792355415326
FS186_nucl	CD4T	chr15	+	60000000	65000000	1.208779517278876
FS186_nucl	CD4T	chr15	+	65000000	70000000	1.2836123616840118
