Sample	Celltype	Chromosome	Strand	Start	End	Count	EF
FS185_nucl	CD4T	chr1	-	110000000.0	115000000	1301	1.2395482004326381
FS185_nucl	CD4T	chr1	-	150000000.0	155000000	1552	1.4786923959042695
FS185_nucl	CD4T	chr1	-	155000000.0	160000000	1498	1.4272430470777036
FS185_nucl	CD4T	chr1	-	200000000.0	205000000	1683	1.6035047050946427
FS185_nucl	CD4T	chr1	-	205000000.0	210000000	1267	1.2071541659862817
FS185_nucl	CD4T	chr1	-	225000000.0	230000000	1477	1.4072349669784834
FS185_nucl	CD4T	chr1	-	230000000.0	235000000	1284	1.2233511832094601
FS185_nucl	CD4T	chr10	+	10000000.0	15000000	1304	1.2424064975896696
FS185_nucl	CD4T	chr10	+	70000000.0	75000000	1549	1.475834098747238
FS185_nucl	CD4T	chr10	+	75000000.0	80000000	1389	1.3233915837055605
FS185_nucl	CD4T	chr10	+	95000000.0	100000000	1282	1.2214456517714392
FS185_nucl	CD4T	chr10	+	100000000.0	105000000	1579	1.5044170703175523
FS185_nucl	CD4T	chr10	+	120000000.0	125000000	1346	1.28242265778811
FS185_nucl	CD4T	chr10	+	125000000.0	130000000	1308	1.2462175604657117
FS185_nucl	CD4T	chr10	+	130000000.0	133797422	1270	1.5932025241641743
FS185_nucl	CD4T	chr10	-	70000000.0	75000000	1551	1.477739630185259
FS185_nucl	CD4T	chr10	-	75000000.0	80000000	1308	1.2462175604657117
FS185_nucl	CD4T	chr10	-	95000000.0	100000000	1308	1.2462175604657117
FS185_nucl	CD4T	chr10	-	100000000.0	105000000	1588	1.512991961788647
FS185_nucl	CD4T	chr10	-	120000000.0	125000000	1366	1.3014779721683198
FS185_nucl	CD4T	chr10	-	125000000.0	130000000	1303	1.241453731870659
FS185_nucl	CD4T	chr10	-	130000000.0	133797422	1297	1.6270737589298692
FS185_nucl	CD4T	chr11	+	0.0	5000000	1903	1.8131131632769488
FS185_nucl	CD4T	chr11	+	60000000.0	65000000	1815	1.7292697800040264
FS185_nucl	CD4T	chr11	+	65000000.0	70000000	2010	1.9150590952110706
FS185_nucl	CD4T	chr11	+	70000000.0	75000000	1623	1.5463387619540137
FS185_nucl	CD4T	chr11	+	75000000.0	80000000	1486	1.4158098584495777
FS185_nucl	CD4T	chr11	+	115000000.0	120000000	1721	1.6397098024170411
FS185_nucl	CD4T	chr11	+	125000000.0	130000000	1306	1.2443120290276908
FS185_nucl	CD4T	chr11	+	130000000.0	135000000	1310	1.2481230919037327
FS185_nucl	CD4T	chr11	+	135000000.0	135086622	22	1.2099031318966673
FS185_nucl	CD4T	chr11	-	0.0	5000000	1921	1.8302629462191378
FS185_nucl	CD4T	chr11	-	60000000.0	65000000	1854	1.7664276430454353
FS185_nucl	CD4T	chr11	-	65000000.0	70000000	2031	1.9350671753102908
FS185_nucl	CD4T	chr11	-	70000000.0	75000000	1555	1.481550693061301
FS185_nucl	CD4T	chr11	-	75000000.0	80000000	1389	1.3233915837055605
FS185_nucl	CD4T	chr11	-	115000000.0	120000000	1634	1.556819184863129
FS185_nucl	CD4T	chr11	-	120000000.0	125000000	1292	1.2309733089615438
FS185_nucl	CD4T	chr11	-	130000000.0	135000000	1344	1.280517126350089
FS185_nucl	CD4T	chr12	+	0.0	5000000	1500	1.4291485785157243
FS185_nucl	CD4T	chr12	+	5000000.0	10000000	1396	1.3300609437386341
FS185_nucl	CD4T	chr12	+	45000000.0	50000000	1345	1.2814698920690994
FS185_nucl	CD4T	chr12	+	50000000.0	55000000	1633	1.5558664191441187
FS185_nucl	CD4T	chr12	+	55000000.0	60000000	1282	1.2214456517714392
FS185_nucl	CD4T	chr12	+	105000000.0	110000000	1442	1.3738881668131164
FS185_nucl	CD4T	chr12	+	110000000.0	115000000	1594	1.5187085561027096
FS185_nucl	CD4T	chr12	+	115000000.0	120000000	1367	1.30243073788733
FS185_nucl	CD4T	chr12	+	120000000.0	125000000	1908	1.8178769918720015
FS185_nucl	CD4T	chr12	+	130000000.0	133275309	1172	1.7046352308748365
FS185_nucl	CD4T	chr12	-	0.0	5000000	1614	1.5377638704829193
FS185_nucl	CD4T	chr12	-	5000000.0	10000000	1390	1.324344349424571
FS185_nucl	CD4T	chr12	-	45000000.0	50000000	1350	1.2862337206641519
FS185_nucl	CD4T	chr12	-	50000000.0	55000000	1717	1.6358987395409992
FS185_nucl	CD4T	chr12	-	55000000.0	60000000	1307	1.2452647947467013
FS185_nucl	CD4T	chr12	-	105000000.0	110000000	1376	1.3110056293584245
FS185_nucl	CD4T	chr12	-	110000000.0	115000000	1618	1.5415749333589615
FS185_nucl	CD4T	chr12	-	115000000.0	120000000	1377	1.3119583950774352
FS185_nucl	CD4T	chr12	-	120000000.0	125000000	1866	1.7778608316735611
FS185_nucl	CD4T	chr12	-	130000000.0	133275309	1163	1.6915450285899616
FS185_nucl	CD4T	chr13	+	110000000.0	114364328	1321	1.441921316194438
FS185_nucl	CD4T	chr13	-	110000000.0	114364328	1257	1.3720629026922093
FS185_nucl	CD4T	chr14	+	20000000.0	25000000	1331	1.2681311720029529
FS185_nucl	CD4T	chr14	+	65000000.0	70000000	1320	1.2576507490938376
FS185_nucl	CD4T	chr14	+	70000000.0	75000000	1397	1.3310137094576446
FS185_nucl	CD4T	chr14	+	75000000.0	80000000	1328	1.2652728748459212
FS185_nucl	CD4T	chr14	+	90000000.0	95000000	1555	1.481550693061301
FS185_nucl	CD4T	chr14	+	95000000.0	100000000	1415	1.3481634923998334
FS185_nucl	CD4T	chr14	+	100000000.0	105000000	1959	1.866468043541536
FS185_nucl	CD4T	chr14	+	105000000.0	107043718	516	1.2027762905875692
FS185_nucl	CD4T	chr14	-	20000000.0	25000000	1335	1.2719422348789946
FS185_nucl	CD4T	chr14	-	65000000.0	70000000	1282	1.2214456517714392
FS185_nucl	CD4T	chr14	-	70000000.0	75000000	1355	1.2909975492592043
FS185_nucl	CD4T	chr14	-	75000000.0	80000000	1353	1.2890920178211835
FS185_nucl	CD4T	chr14	-	90000000.0	95000000	1527	1.4548732529290074
FS185_nucl	CD4T	chr14	-	95000000.0	100000000	1439	1.371029869656085
FS185_nucl	CD4T	chr14	-	100000000.0	105000000	1929	1.8378850719712214
FS185_nucl	CD4T	chr14	-	105000000.0	107043718	582	1.356619769616212
FS185_nucl	CD4T	chr15	+	40000000.0	45000000	1477	1.4072349669784834
FS185_nucl	CD4T	chr15	+	60000000.0	65000000	1278	1.217634588895397
FS185_nucl	CD4T	chr15	+	65000000.0	70000000	1526	1.453920487209997
FS185_nucl	CD4T	chr15	+	70000000.0	75000000	1507	1.4358179385487977
FS185_nucl	CD4T	chr15	+	75000000.0	80000000	1460	1.391037949755305
FS185_nucl	CD4T	chr15	+	90000000.0	95000000	1286	1.225256714647481
FS185_nucl	CD4T	chr15	+	100000000.0	101991189	580	1.3876234677523833
FS185_nucl	CD4T	chr15	-	40000000.0	45000000	1608	1.5320472761688566
FS185_nucl	CD4T	chr15	-	60000000.0	65000000	1306	1.2443120290276908
FS185_nucl	CD4T	chr15	-	65000000.0	70000000	1466	1.396754544069368
FS185_nucl	CD4T	chr15	-	70000000.0	75000000	1515	1.4434400643008816
FS185_nucl	CD4T	chr15	-	75000000.0	80000000	1688	1.6082685336896951
FS185_nucl	CD4T	chr15	-	90000000.0	95000000	1357	1.2929030806972253
FS185_nucl	CD4T	chr15	-	100000000.0	101991189	517	1.2368988497034175
FS185_nucl	CD4T	chr16	+	0.0	5000000	2376	2.2637713483689073
FS185_nucl	CD4T	chr16	+	10000000.0	15000000	1418	1.3510217895568648
FS185_nucl	CD4T	chr16	+	20000000.0	25000000	1319	1.256697983374827
FS185_nucl	CD4T	chr16	+	25000000.0	30000000	1424	1.3567383838709275
FS185_nucl	CD4T	chr16	+	55000000.0	60000000	1420	1.3529273209948858
FS185_nucl	CD4T	chr16	+	65000000.0	70000000	1687	1.6073157679706847
FS185_nucl	CD4T	chr16	+	70000000.0	75000000	1261	1.201437571672219
FS185_nucl	CD4T	chr16	+	80000000.0	85000000	1452	1.3834158240032213
FS185_nucl	CD4T	chr16	+	85000000.0	90000000	2230	2.124667553393377
FS185_nucl	CD4T	chr16	-	0.0	5000000	2458	2.341898137327767
FS185_nucl	CD4T	chr16	-	10000000.0	15000000	1448	1.3796047611271791
FS185_nucl	CD4T	chr16	-	25000000.0	30000000	1470	1.4005656069454098
FS185_nucl	CD4T	chr16	-	55000000.0	60000000	1402	1.3357775380526968
FS185_nucl	CD4T	chr16	-	65000000.0	70000000	1685	1.6054102365326637
FS185_nucl	CD4T	chr16	-	80000000.0	85000000	1389	1.3233915837055605
FS185_nucl	CD4T	chr16	-	85000000.0	90000000	2092	1.9931858841699301
FS185_nucl	CD4T	chr17	+	0.0	5000000	1950	1.8578931520704416
FS185_nucl	CD4T	chr17	+	5000000.0	10000000	1891	1.801679974648823
FS185_nucl	CD4T	chr17	+	15000000.0	20000000	1433	1.3653132753420218
FS185_nucl	CD4T	chr17	+	30000000.0	35000000	1379	1.313863926515456
FS185_nucl	CD4T	chr17	+	35000000.0	40000000	1526	1.453920487209997
FS185_nucl	CD4T	chr17	+	40000000.0	45000000	1910	1.8197825233100224
FS185_nucl	CD4T	chr17	+	45000000.0	50000000	1530	1.4577315500860388
FS185_nucl	CD4T	chr17	+	55000000.0	60000000	1326	1.2633673434079002
FS185_nucl	CD4T	chr17	+	60000000.0	65000000	1302	1.2405009661516486
FS185_nucl	CD4T	chr17	+	65000000.0	70000000	1293	1.2319260746805543
FS185_nucl	CD4T	chr17	+	70000000.0	75000000	1412	1.3453051952428017
FS185_nucl	CD4T	chr17	+	75000000.0	80000000	2205	2.1008484104181147
FS185_nucl	CD4T	chr17	+	80000000.0	83257441	1482	2.1673436227602214
FS185_nucl	CD4T	chr17	-	0.0	5000000	1879	1.7902467860206972
FS185_nucl	CD4T	chr17	-	5000000.0	10000000	1789	1.704497871309754
FS185_nucl	CD4T	chr17	-	15000000.0	20000000	1500	1.4291485785157243
FS185_nucl	CD4T	chr17	-	30000000.0	35000000	1353	1.2890920178211835
FS185_nucl	CD4T	chr17	-	35000000.0	40000000	1545	1.4720230358711959
FS185_nucl	CD4T	chr17	-	40000000.0	45000000	1816	1.730222545723037
FS185_nucl	CD4T	chr17	-	45000000.0	50000000	1668	1.5892132193094854
FS185_nucl	CD4T	chr17	-	55000000.0	60000000	1328	1.2652728748459212
FS185_nucl	CD4T	chr17	-	60000000.0	65000000	1274	1.2138235260193553
FS185_nucl	CD4T	chr17	-	65000000.0	70000000	1284	1.2233511832094601
FS185_nucl	CD4T	chr17	-	70000000.0	75000000	1325	1.2624145776888898
FS185_nucl	CD4T	chr17	-	75000000.0	80000000	2275	2.1675420107488486
FS185_nucl	CD4T	chr17	-	80000000.0	83257441	1602	2.342837033510037
FS185_nucl	CD4T	chr18	+	45000000.0	50000000	1399	1.3329192408956656
FS185_nucl	CD4T	chr18	+	75000000.0	80000000	1353	1.2890920178211835
FS185_nucl	CD4T	chr18	-	45000000.0	50000000	1409	1.3424468980857704
FS185_nucl	CD4T	chr18	-	75000000.0	80000000	1324	1.2614618119698793
FS185_nucl	CD4T	chr19	+	0.0	5000000	2608	2.484812995179339
FS185_nucl	CD4T	chr19	+	5000000.0	10000000	2016	1.9207756895251336
FS185_nucl	CD4T	chr19	+	10000000.0	15000000	2080	1.9817526955418043
FS185_nucl	CD4T	chr19	+	15000000.0	20000000	2151	2.0493990615915485
FS185_nucl	CD4T	chr19	+	30000000.0	35000000	1506	1.4348651728297872
FS185_nucl	CD4T	chr19	+	35000000.0	40000000	1899	1.809302100400907
FS185_nucl	CD4T	chr19	+	40000000.0	45000000	1830	1.7435612657891837
FS185_nucl	CD4T	chr19	+	45000000.0	50000000	2331	2.2208968910134357
FS185_nucl	CD4T	chr19	+	50000000.0	55000000	1754	1.671151071144387
FS185_nucl	CD4T	chr19	+	55000000.0	58617616	1281	1.6868745688492486
FS185_nucl	CD4T	chr19	-	0.0	5000000	2616	2.4924351209314235
FS185_nucl	CD4T	chr19	-	5000000.0	10000000	2069	1.971272272632689
FS185_nucl	CD4T	chr19	-	10000000.0	15000000	2149	2.0474935301535275
FS185_nucl	CD4T	chr19	-	15000000.0	20000000	2264	2.1570615878397335
FS185_nucl	CD4T	chr19	-	30000000.0	35000000	1539	1.4663064415571332
FS185_nucl	CD4T	chr19	-	35000000.0	40000000	1891	1.801679974648823
FS185_nucl	CD4T	chr19	-	40000000.0	45000000	1779	1.694970214119649
FS185_nucl	CD4T	chr19	-	45000000.0	50000000	2371	2.259007519773855
FS185_nucl	CD4T	chr19	-	50000000.0	55000000	1634	1.556819184863129
FS185_nucl	CD4T	chr19	-	55000000.0	58617616	1252	1.648686151599734
FS185_nucl	CD4T	chr2	+	0.0	5000000	1279	1.2185873546144075
FS185_nucl	CD4T	chr2	+	5000000.0	10000000	1263	1.20334310311024
FS185_nucl	CD4T	chr2	+	25000000.0	30000000	1660	1.5815910935574016
FS185_nucl	CD4T	chr2	+	70000000.0	75000000	1537	1.4644009101191122
FS185_nucl	CD4T	chr2	+	95000000.0	100000000	1291	1.2300205432425333
FS185_nucl	CD4T	chr2	+	125000000.0	130000000	1261	1.201437571672219
FS185_nucl	CD4T	chr2	+	215000000.0	220000000	1509	1.4377234699868187
FS185_nucl	CD4T	chr2	+	230000000.0	235000000	1529	1.4567787843670283
FS185_nucl	CD4T	chr2	+	235000000.0	240000000	1648	1.5701579049292758
FS185_nucl	CD4T	chr2	+	240000000.0	242193529	905	1.9654469480560481
FS185_nucl	CD4T	chr2	-	5000000.0	10000000	1275	1.2147762917383658
FS185_nucl	CD4T	chr2	-	25000000.0	30000000	1586	1.511086430350626
FS185_nucl	CD4T	chr2	-	70000000.0	75000000	1480	1.4100932641355146
FS185_nucl	CD4T	chr2	-	95000000.0	100000000	1266	1.2062014002672712
FS185_nucl	CD4T	chr2	-	215000000.0	220000000	1499	1.428195812796714
FS185_nucl	CD4T	chr2	-	230000000.0	235000000	1616	1.5396694019209403
FS185_nucl	CD4T	chr2	-	235000000.0	240000000	1719	1.6378042709790201
FS185_nucl	CD4T	chr2	-	240000000.0	242193529	883	1.9176681272193263
FS185_nucl	CD4T	chr20	+	0.0	5000000	1572	1.4977477102844792
FS185_nucl	CD4T	chr20	+	30000000.0	35000000	1525	1.4529677214909864
FS185_nucl	CD4T	chr20	+	35000000.0	40000000	1670	1.5911187507475064
FS185_nucl	CD4T	chr20	+	40000000.0	45000000	1393	1.3272026465816027
FS185_nucl	CD4T	chr20	+	45000000.0	50000000	1620	1.5434804647969824
FS185_nucl	CD4T	chr20	+	50000000.0	55000000	1478	1.4081877326974936
FS185_nucl	CD4T	chr20	+	55000000.0	60000000	1464	1.394849012631347
FS185_nucl	CD4T	chr20	+	60000000.0	64444167	1748	1.8737307540764379
FS185_nucl	CD4T	chr20	-	0.0	5000000	1595	1.5196613218217203
FS185_nucl	CD4T	chr20	-	30000000.0	35000000	1463	1.3938962469123366
FS185_nucl	CD4T	chr20	-	35000000.0	40000000	1670	1.5911187507475064
FS185_nucl	CD4T	chr20	-	40000000.0	45000000	1356	1.2919503149782148
FS185_nucl	CD4T	chr20	-	45000000.0	50000000	1693	1.6130323622847476
FS185_nucl	CD4T	chr20	-	50000000.0	55000000	1356	1.2919503149782148
FS185_nucl	CD4T	chr20	-	55000000.0	60000000	1469	1.3996128412263993
FS185_nucl	CD4T	chr20	-	60000000.0	64444167	1794	1.9230394581310808
FS185_nucl	CD4T	chr21	+	30000000.0	35000000	1321	1.258603514812848
FS185_nucl	CD4T	chr21	+	35000000.0	40000000	1303	1.241453731870659
FS185_nucl	CD4T	chr21	+	40000000.0	45000000	1545	1.4720230358711959
FS185_nucl	CD4T	chr21	+	45000000.0	46709983	624	1.7383968398005751
FS185_nucl	CD4T	chr21	-	35000000.0	40000000	1308	1.2462175604657117
FS185_nucl	CD4T	chr21	-	40000000.0	45000000	1561	1.4872672873753638
FS185_nucl	CD4T	chr21	-	45000000.0	46709983	690	1.9222657363179434
FS185_nucl	CD4T	chr22	+	20000000.0	25000000	1599	1.5234723846977622
FS185_nucl	CD4T	chr22	+	25000000.0	30000000	1477	1.4072349669784834
FS185_nucl	CD4T	chr22	+	30000000.0	35000000	1506	1.4348651728297872
FS185_nucl	CD4T	chr22	+	35000000.0	40000000	2008	1.9131535637730497
FS185_nucl	CD4T	chr22	+	40000000.0	45000000	1932	1.840743369128253
FS185_nucl	CD4T	chr22	+	45000000.0	50000000	1953	1.860751449227473
FS185_nucl	CD4T	chr22	+	50000000.0	50818468	372	2.1651967301830957
FS185_nucl	CD4T	chr22	-	20000000.0	25000000	1616	1.5396694019209403
FS185_nucl	CD4T	chr22	-	25000000.0	30000000	1510	1.4386762357058294
FS185_nucl	CD4T	chr22	-	30000000.0	35000000	1415	1.3481634923998334
FS185_nucl	CD4T	chr22	-	35000000.0	40000000	2086	1.9874692898558672
FS185_nucl	CD4T	chr22	-	40000000.0	45000000	1875	1.7864357231446555
FS185_nucl	CD4T	chr22	-	45000000.0	50000000	1965	1.8721846378555989
FS185_nucl	CD4T	chr22	-	50000000.0	50818468	390	2.269964313901633
FS185_nucl	CD4T	chr3	+	10000000.0	15000000	1708	1.6273238480699048
FS185_nucl	CD4T	chr3	+	40000000.0	45000000	1286	1.225256714647481
FS185_nucl	CD4T	chr3	+	45000000.0	50000000	1769	1.6854425569295441
FS185_nucl	CD4T	chr3	+	50000000.0	55000000	1606	1.5301417447308354
FS185_nucl	CD4T	chr3	+	125000000.0	130000000	1638	1.560630247739171
FS185_nucl	CD4T	chr3	+	195000000.0	198295559	986	1.425292338787344
FS185_nucl	CD4T	chr3	-	10000000.0	15000000	1671	1.592071516466517
FS185_nucl	CD4T	chr3	-	40000000.0	45000000	1260	1.2004848059532085
FS185_nucl	CD4T	chr3	-	45000000.0	50000000	1686	1.6063630022516742
FS185_nucl	CD4T	chr3	-	50000000.0	55000000	1621	1.544433230515993
FS185_nucl	CD4T	chr3	-	125000000.0	130000000	1627	1.5501498248300556
FS185_nucl	CD4T	chr3	-	195000000.0	198295559	924	1.335669493954874
FS185_nucl	CD4T	chr4	+	0.0	5000000	1906	1.8159714604339803
FS185_nucl	CD4T	chr4	+	5000000.0	10000000	1624	1.5472915276730241
FS185_nucl	CD4T	chr4	-	0.0	5000000	1994	1.899814843706903
FS185_nucl	CD4T	chr4	-	5000000.0	10000000	1613	1.5368111047639088
FS185_nucl	CD4T	chr5	+	0.0	5000000	1513	1.4415345328628606
FS185_nucl	CD4T	chr5	+	130000000.0	135000000	1407	1.3405413666477495
FS185_nucl	CD4T	chr5	+	135000000.0	140000000	1419	1.3519745552758753
FS185_nucl	CD4T	chr5	+	150000000.0	155000000	1313	1.250981389060764
FS185_nucl	CD4T	chr5	+	170000000.0	175000000	1473	1.4034239041024412
FS185_nucl	CD4T	chr5	+	175000000.0	180000000	1649	1.5711106706482862
FS185_nucl	CD4T	chr5	+	180000000.0	181538259	445	1.3781188504655746
FS185_nucl	CD4T	chr5	-	0.0	5000000	1535	1.4624953786810913
FS185_nucl	CD4T	chr5	-	130000000.0	135000000	1297	1.2357371375565964
FS185_nucl	CD4T	chr5	-	135000000.0	140000000	1484	1.4139043270115565
FS185_nucl	CD4T	chr5	-	150000000.0	155000000	1341	1.2776588291930577
FS185_nucl	CD4T	chr5	-	170000000.0	175000000	1454	1.3853213554412422
FS185_nucl	CD4T	chr5	-	175000000.0	180000000	1571	1.4967949445654687
FS185_nucl	CD4T	chr5	-	180000000.0	181538259	437	1.3533436801201262
FS185_nucl	CD4T	chr6	+	0.0	5000000	1293	1.2319260746805543
FS185_nucl	CD4T	chr6	+	10000000.0	15000000	1279	1.2185873546144075
FS185_nucl	CD4T	chr6	+	30000000.0	35000000	1742	1.6597178825162613
FS185_nucl	CD4T	chr6	+	35000000.0	40000000	1567	1.4929838816894265
FS185_nucl	CD4T	chr6	+	40000000.0	45000000	1731	1.649237459607146
FS185_nucl	CD4T	chr6	+	165000000.0	170000000	1315	1.252886920498785
FS185_nucl	CD4T	chr6	+	170000000.0	170805979	227	1.3417087679417181
FS185_nucl	CD4T	chr6	-	0.0	5000000	1307	1.2452647947467013
FS185_nucl	CD4T	chr6	-	30000000.0	35000000	1743	1.6606706482352718
FS185_nucl	CD4T	chr6	-	35000000.0	40000000	1564	1.4901255845323953
FS185_nucl	CD4T	chr6	-	40000000.0	45000000	1759	1.6759148997394393
FS185_nucl	CD4T	chr6	-	155000000.0	160000000	1292	1.2309733089615438
FS185_nucl	CD4T	chr6	-	165000000.0	170000000	1264	1.2042958688292504
FS185_nucl	CD4T	chr7	+	0.0	5000000	2077	1.978894398384773
FS185_nucl	CD4T	chr7	+	70000000.0	75000000	1295	1.2338316061185755
FS185_nucl	CD4T	chr7	+	100000000.0	105000000	1432	1.3643605096230116
FS185_nucl	CD4T	chr7	+	150000000.0	155000000	1353	1.2890920178211835
FS185_nucl	CD4T	chr7	+	155000000.0	159345973	1402	1.5367991679339668
FS185_nucl	CD4T	chr7	-	0.0	5000000	2044	1.9474531296574271
FS185_nucl	CD4T	chr7	-	70000000.0	75000000	1296	1.234784371837586
FS185_nucl	CD4T	chr7	-	100000000.0	105000000	1454	1.3853213554412422
FS185_nucl	CD4T	chr7	-	130000000.0	135000000	1300	1.2385954347136277
FS185_nucl	CD4T	chr7	-	150000000.0	155000000	1295	1.2338316061185755
FS185_nucl	CD4T	chr7	-	155000000.0	159345973	1289	1.4129344703758082
FS185_nucl	CD4T	chr8	+	20000000.0	25000000	1537	1.4644009101191122
FS185_nucl	CD4T	chr8	+	25000000.0	30000000	1304	1.2424064975896696
FS185_nucl	CD4T	chr8	+	140000000.0	145000000	2227	2.1218092562363453
FS185_nucl	CD4T	chr8	-	20000000.0	25000000	1449	1.3805575268461896
FS185_nucl	CD4T	chr8	-	25000000.0	30000000	1304	1.2424064975896696
FS185_nucl	CD4T	chr8	-	140000000.0	145000000	2211	2.1065650047321776
FS185_nucl	CD4T	chr9	+	85000000.0	90000000	1296	1.234784371837586
FS185_nucl	CD4T	chr9	+	90000000.0	95000000	1370	1.3052890350443616
FS185_nucl	CD4T	chr9	+	95000000.0	100000000	1346	1.28242265778811
FS185_nucl	CD4T	chr9	+	110000000.0	115000000	1304	1.2424064975896696
FS185_nucl	CD4T	chr9	+	120000000.0	125000000	1429	1.3615022124659801
FS185_nucl	CD4T	chr9	+	125000000.0	130000000	1978	1.8845705922027352
FS185_nucl	CD4T	chr9	+	130000000.0	135000000	2017	1.921728455244144
FS185_nucl	CD4T	chr9	+	135000000.0	138394717	1588	2.2284507983856194
FS185_nucl	CD4T	chr9	-	90000000.0	95000000	1282	1.2214456517714392
FS185_nucl	CD4T	chr9	-	95000000.0	100000000	1295	1.2338316061185755
FS185_nucl	CD4T	chr9	-	110000000.0	115000000	1293	1.2319260746805543
FS185_nucl	CD4T	chr9	-	120000000.0	125000000	1464	1.394849012631347
FS185_nucl	CD4T	chr9	-	125000000.0	130000000	2010	1.9150590952110706
FS185_nucl	CD4T	chr9	-	130000000.0	135000000	2101	2.0017607756410247
FS185_nucl	CD4T	chr9	-	135000000.0	138394717	1548	2.1723185364615483
FS186_nucl	CD4T	chr1	+	5000000.0	10000000	1857	1.416825372437087
FS186_nucl	CD4T	chr1	+	10000000.0	15000000	1608	1.2268471722557006
FS186_nucl	CD4T	chr1	+	15000000.0	20000000	1880	1.4343735596024358
FS186_nucl	CD4T	chr1	+	20000000.0	25000000	1964	1.4984625909889278
FS186_nucl	CD4T	chr1	+	25000000.0	30000000	2053	1.5663664456722346
FS186_nucl	CD4T	chr1	+	30000000.0	35000000	1854	1.414536478458998
FS186_nucl	CD4T	chr1	+	35000000.0	40000000	1923	1.467181039955045
FS186_nucl	CD4T	chr1	+	40000000.0	45000000	1765	1.3466326237756914
FS186_nucl	CD4T	chr1	+	50000000.0	55000000	1780	1.3580770936661362
FS186_nucl	CD4T	chr1	+	150000000.0	155000000	1941	1.4809144038235789
FS186_nucl	CD4T	chr1	+	155000000.0	160000000	1574	1.2009063738373587
FS186_nucl	CD4T	chr1	+	200000000.0	205000000	1772	1.3519733763912323
FS186_nucl	CD4T	chr1	+	225000000.0	230000000	1642	1.2527879706740426
FS186_nucl	CD4T	chr1	-	5000000.0	10000000	1793	1.3679956342378552
FS186_nucl	CD4T	chr1	-	10000000.0	15000000	1647	1.2566027939708575
FS186_nucl	CD4T	chr1	-	15000000.0	20000000	1866	1.423692054371354
FS186_nucl	CD4T	chr1	-	20000000.0	25000000	1866	1.423692054371354
FS186_nucl	CD4T	chr1	-	25000000.0	30000000	2005	1.5297441420228106
FS186_nucl	CD4T	chr1	-	30000000.0	35000000	1731	1.3206918253573494
FS186_nucl	CD4T	chr1	-	35000000.0	40000000	1857	1.416825372437087
FS186_nucl	CD4T	chr1	-	40000000.0	45000000	1794	1.3687585988972182
FS186_nucl	CD4T	chr1	-	50000000.0	55000000	1710	1.3046695675107265
FS186_nucl	CD4T	chr1	-	110000000.0	115000000	1591	1.2138767730465296
FS186_nucl	CD4T	chr1	-	150000000.0	155000000	1957	1.4931218383733869
FS186_nucl	CD4T	chr1	-	155000000.0	160000000	1662	1.2680472638613025
FS186_nucl	CD4T	chr1	-	200000000.0	205000000	1764	1.3458696591163282
FS186_nucl	CD4T	chr1	-	225000000.0	230000000	1630	1.2436323947616865
