Sample	Chromosome	Strand	Start	End	Count
dsF	chr1	+	70500000	71000000	1887790
dsF	chr1	+	71000000	71500000	1952441
dsF	chr1	+	71500000	72000000	1961515
dsF	chr1	+	72000000	72500000	1763855
dsF	chr1	+	72500000	73000000	1930250
dsF	chr1	+	73000000	73500000	1925319
dsF	chr1	+	73500000	74000000	1896209
dsF	chr1	+	74000000	74500000	1892210
dsF	chr1	+	74500000	75000000	1984938
dsF	chr1	+	75000000	75500000	1939382
dsF	chr1	+	75500000	76000000	1862200
dsF	chr1	+	76000000	76500000	1946089
dsF	chr1	+	76500000	77000000	2004143
dsF	chr1	+	77000000	77500000	1910624
dsF	chr1	+	77500000	78000000	1875059
dsF	chr1	+	78000000	78500000	1900187
dsF	chr1	+	78500000	79000000	1981192
dsF	chr1	+	79000000	79500000	1920517
dsF	chr1	+	79500000	80000000	1869248
dsF	chr1	+	80000000	80500000	1908872
dsF	chr1	+	80500000	81000000	1939913
dsF	chr1	+	81000000	81500000	1915741
dsF	chr1	+	81500000	82000000	1849291
dsF	chr1	+	82000000	82500000	1905902
dsF	chr1	+	82500000	83000000	1940593
dsF	chr1	+	83000000	83500000	1885514
dsF	chr1	+	83500000	84000000	1916734
dsF	chr1	+	84000000	84500000	1947006
dsF	chr1	+	84500000	85000000	1925562
dsF	chr1	+	85000000	85500000	1935449
dsF	chr1	+	85500000	86000000	1857737
dsF	chr1	+	86000000	86500000	1903976
dsF	chr1	+	86500000	87000000	1848766
dsF	chr1	+	87000000	87500000	1872453
dsF	chr1	+	87500000	88000000	1910690
dsF	chr1	+	88000000	88500000	1942428
dsF	chr1	+	88500000	89000000	1917235
dsF	chr1	+	89000000	89500000	1916591
dsF	chr1	+	89500000	90000000	1964158
dsF	chr1	+	90000000	90500000	1951821
dsF	chr1	+	90500000	91000000	1856221
dsF	chr1	+	91000000	91500000	1914662
dsF	chr1	+	91500000	92000000	1876104
dsF	chr1	+	92000000	92500000	1857601
dsF	chr1	+	92500000	93000000	1932541
dsF	chr1	+	93000000	93500000	1899329
dsF	chr1	+	93500000	94000000	1875983
dsF	chr1	+	94000000	94500000	1907121
dsF	chr1	+	94500000	95000000	1821563
dsF	chr1	+	95000000	95500000	1900288
dsF	chr1	+	95500000	96000000	1938413
dsF	chr1	+	96000000	96500000	1940719
dsF	chr1	+	96500000	97000000	1873767
dsF	chr1	+	97000000	97500000	1909887
dsF	chr1	+	97500000	98000000	1992351
dsF	chr1	+	98000000	98500000	2004628
dsF	chr1	+	98500000	99000000	1938362
dsF	chr1	+	99000000	99500000	1942476
dsF	chr1	+	99500000	100000000	1884661
dsF	chr1	+	100000000	100500000	1851730
dsF	chr1	+	100500000	101000000	1982170
dsF	chr1	+	101000000	101500000	1959513
dsF	chr1	+	101500000	102000000	1965101
dsF	chr1	+	102000000	102500000	1898358
dsF	chr1	+	102500000	103000000	1885059
dsF	chr1	+	103000000	103500000	1929968
dsF	chr1	+	103500000	104000000	1695098
dsF	chr1	+	104000000	104500000	1932568
dsF	chr1	+	104500000	105000000	1883546
dsF	chr1	+	105000000	105500000	1835526
dsF	chr1	+	105500000	106000000	1876087
dsF	chr1	+	106000000	106500000	1944301
dsF	chr1	+	106500000	107000000	1953086
dsF	chr1	+	107000000	107500000	1982108
dsF	chr1	+	107500000	108000000	1950849
dsF	chr1	+	108000000	108500000	1865294
dsF	chr1	+	108500000	109000000	1857272
dsF	chr1	+	109000000	109500000	1815228
dsF	chr1	+	109500000	110000000	1932694
dsF	chr1	+	110000000	110500000	1862120
dsF	chr1	+	110500000	111000000	1982246
dsF	chr1	+	111000000	111500000	1963301
dsF	chr1	+	111500000	112000000	1947446
dsF	chr1	+	112000000	112500000	1863594
dsF	chr1	+	112500000	113000000	1773888
dsF	chr1	+	113000000	113500000	1811717
dsF	chr1	+	113500000	114000000	1909452
dsF	chr1	+	114000000	114500000	1919786
dsF	chr1	+	114500000	115000000	1899786
dsF	chr1	+	115000000	115500000	1886989
dsF	chr1	+	115500000	116000000	1815856
dsF	chr1	+	116000000	116500000	1933205
dsF	chr1	+	116500000	117000000	1946465
dsF	chr1	+	117000000	117500000	1904127
dsF	chr1	+	117500000	118000000	1927548
dsF	chr1	+	118000000	118500000	1954060
dsF	chr1	+	118500000	119000000	1953406
dsF	chr1	+	119000000	119500000	1898533
dsF	chr1	+	119500000	120000000	1903724
dsF	chr1	+	120000000	120500000	1732079
dsF	chr1	+	120500000	121000000	1434734
dsF	chr1	+	121000000	121500000	1757835
dsF	chr1	+	121500000	122000000	1225301
dsF	chr1	+	122000000	122500000	1275047
dsF	chr1	+	122500000	123000000	1820074
dsF	chr1	+	123000000	123500000	1723807
dsF	chr1	+	123500000	124000000	1787143
dsF	chr1	+	124000000	124500000	2086026
dsF	chr1	+	124500000	125000000	2769068
dsF	chr1	+	125000000	125500000	10955694
dsF	chr1	+	125500000	126000000	0
dsF	chr1	+	126000000	126500000	0
dsF	chr1	+	126500000	127000000	0
dsF	chr1	+	127000000	127500000	0
dsF	chr1	+	127500000	128000000	0
dsF	chr1	+	128000000	128500000	0
dsF	chr1	+	128500000	129000000	0
dsF	chr1	+	129000000	129500000	0
dsF	chr1	+	129500000	130000000	0
dsF	chr1	+	130000000	130500000	0
dsF	chr1	+	130500000	131000000	0
dsF	chr1	+	131000000	131500000	0
dsF	chr1	+	131500000	132000000	0
dsF	chr1	+	132000000	132500000	0
dsF	chr1	+	132500000	133000000	0
dsF	chr1	+	133000000	133500000	0
dsF	chr1	+	133500000	134000000	0
dsF	chr1	+	134000000	134500000	0
dsF	chr1	+	134500000	135000000	0
dsF	chr1	+	135000000	135500000	0
dsF	chr1	+	135500000	136000000	0
dsF	chr1	+	136000000	136500000	0
dsF	chr1	+	136500000	137000000	0
dsF	chr1	+	137000000	137500000	0
dsF	chr1	+	137500000	138000000	0
dsF	chr1	+	138000000	138500000	0
dsF	chr1	+	138500000	139000000	0
dsF	chr1	+	139000000	139500000	0
dsF	chr1	+	139500000	140000000	0
dsF	chr1	+	140000000	140500000	0
dsF	chr1	+	140500000	141000000	0
dsF	chr1	+	141000000	141500000	0
dsF	chr1	+	141500000	142000000	0
dsF	chr1	+	142000000	142500000	0
dsF	chr1	+	142500000	143000000	0
dsF	chr1	+	143000000	143500000	16254564
dsF	chr1	+	143500000	144000000	1791186
dsF	chr1	+	144000000	144500000	1937538
dsF	chr1	+	144500000	145000000	1816993
dsF	chr1	+	145000000	145500000	1884861
dsF	chr1	+	145500000	146000000	1875650
dsF	chr1	+	146000000	146500000	1782841
dsF	chr1	+	146500000	147000000	1784722
dsF	chr1	+	147000000	147500000	1843874
dsF	chr1	+	147500000	148000000	1865811
dsF	chr1	+	148000000	148500000	1802472
dsF	chr1	+	148500000	149000000	1889191
dsF	chr1	+	149000000	149500000	1749693
dsF	chr1	+	149500000	150000000	1891220
dsF	chr1	+	150000000	150500000	1735612
dsF	chr1	+	150500000	151000000	1744102
dsF	chr1	+	151000000	151500000	1790598
dsF	chr1	+	151500000	152000000	1880111
dsF	chr1	+	152000000	152500000	1915371
dsF	chr1	+	152500000	153000000	1777564
dsF	chr1	+	153000000	153500000	1894724
dsF	chr1	+	153500000	154000000	1863238
dsF	chr1	+	154000000	154500000	1790961
dsF	chr1	+	154500000	155000000	1917488
dsF	chr1	+	155000000	155500000	1882920
dsF	chr1	+	155500000	156000000	1687400
dsF	chr1	+	156000000	156500000	1840394
dsF	chr1	+	156500000	157000000	1931575
dsF	chr1	+	157000000	157500000	1889015
dsF	chr1	+	157500000	158000000	1904581
dsF	chr1	+	158000000	158500000	1859149
dsF	chr1	+	158500000	159000000	1920503
dsF	chr1	+	159000000	159500000	1907534
dsF	chr1	+	159500000	160000000	1933682
dsF	chr1	+	160000000	160500000	1961184
dsF	chr1	+	160500000	161000000	1931398
dsF	chr1	+	161000000	161500000	1960711
dsF	chr1	+	161500000	162000000	1721888
dsF	chr1	+	162000000	162500000	1867244
dsF	chr1	+	162500000	163000000	1848050
dsF	chr1	+	163000000	163500000	1895749
dsF	chr1	+	163500000	164000000	1943900
dsF	chr1	+	164000000	164500000	1945233
dsF	chr1	+	164500000	165000000	1841651
dsF	chr1	+	165000000	165500000	1933993
dsF	chr1	+	165500000	166000000	1847993
dsF	chr1	+	166000000	166500000	1901133
dsF	chr1	+	166500000	167000000	1924766
dsF	chr1	+	167000000	167500000	1931655
dsF	chr1	+	167500000	168000000	1896856
dsF	chr1	+	168000000	168500000	1894919
dsF	chr1	+	168500000	169000000	2023671
dsF	chr1	+	169000000	169500000	1949013
dsF	chr1	+	169500000	170000000	1988526
dsF	chr1	+	170000000	170500000	1981270
dsF	chr1	+	170500000	171000000	1867988
dsF	chr1	+	171000000	171500000	1884923
dsF	chr1	+	171500000	172000000	1869713
dsF	chr1	+	172000000	172500000	2023115
dsF	chr1	+	172500000	173000000	2030635
dsF	chr1	+	173000000	173500000	1929497
dsF	chr1	+	173500000	174000000	1823456
dsF	chr1	+	174000000	174500000	1881925
dsF	chr1	+	174500000	175000000	1882497
dsF	chr1	+	175000000	175500000	1925969
dsF	chr1	+	175500000	176000000	1917331
dsF	chr1	+	176000000	176500000	1892555
dsF	chr1	+	176500000	177000000	1901059
dsF	chr1	+	177000000	177500000	1900801
dsF	chr1	+	177500000	178000000	1886888
dsF	chr1	+	178000000	178500000	1912471
dsF	chr1	+	178500000	179000000	1867296
dsF	chr1	+	179000000	179500000	1796290
dsF	chr1	+	179500000	180000000	1871103
dsF	chr1	+	180000000	180500000	1902008
dsF	chr1	+	180500000	181000000	1879396
dsF	chr1	+	181000000	181500000	1953859
dsF	chr1	+	181500000	182000000	1963628
dsF	chr1	+	182000000	182500000	1882485
dsF	chr1	+	182500000	183000000	1867102
dsF	chr1	+	183000000	183500000	1859101
dsF	chr1	+	183500000	184000000	1868419
dsF	chr1	+	184000000	184500000	1942415
dsF	chr1	+	184500000	185000000	1891329
dsF	chr1	+	185000000	185500000	1951783
dsF	chr1	+	185500000	186000000	2021815
dsF	chr1	+	186000000	186500000	1957522
dsF	chr1	+	186500000	187000000	1941845
dsF	chr1	+	187000000	187500000	1947450
dsF	chr1	+	187500000	188000000	1955288
dsF	chr1	+	188000000	188500000	1939700
dsF	chr1	+	188500000	189000000	1940234
dsF	chr1	+	189000000	189500000	1947796
dsF	chr1	+	189500000	190000000	1882397
dsF	chr1	+	190000000	190500000	1902709
dsF	chr1	+	190500000	191000000	1923959
dsF	chr1	+	191000000	191500000	1851420
dsF	chr1	+	191500000	192000000	1999573
dsF	chr1	+	192000000	192500000	2020196
dsF	chr1	+	192500000	193000000	1987628
dsF	chr1	+	193000000	193500000	1941233
dsF	chr1	+	193500000	194000000	1945996
dsF	chr1	+	194000000	194500000	1883720
dsF	chr1	+	194500000	195000000	1860668
dsF	chr1	+	195000000	195500000	1883549
dsF	chr1	+	195500000	196000000	1916495
dsF	chr1	+	196000000	196500000	1963298
dsF	chr1	+	196500000	197000000	1870142
dsF	chr1	+	197000000	197500000	1911255
dsF	chr1	+	197500000	198000000	1940284
dsF	chr1	+	198000000	198500000	2027958
dsF	chr1	+	198500000	199000000	2025026
dsF	chr1	+	199000000	199500000	2005025
dsF	chr1	+	199500000	200000000	1918466
dsF	chr1	+	200000000	200500000	1879596
dsF	chr1	+	200500000	201000000	1884499
dsF	chr1	+	201000000	201500000	1916070
dsF	chr1	+	201500000	202000000	1821855
dsF	chr1	+	202000000	202500000	1813352
dsF	chr1	+	202500000	203000000	1906147
dsF	chr1	+	203000000	203500000	1939971
dsF	chr1	+	203500000	204000000	1850744
dsF	chr1	+	204000000	204500000	1935586
dsF	chr1	+	204500000	205000000	1921670
dsF	chr1	+	205000000	205500000	1878901
dsF	chr1	+	205500000	206000000	1846505
dsF	chr1	+	206000000	206500000	1848306
dsF	chr1	+	206500000	207000000	1969138
dsF	chr1	+	207000000	207500000	1990681
dsF	chr1	+	207500000	208000000	1815742
dsF	chr1	+	208000000	208500000	1920215
dsF	chr1	+	208500000	209000000	1894642
dsF	chr1	+	209000000	209500000	1923959
dsF	chr1	+	209500000	210000000	1887657
dsF	chr1	+	210000000	210500000	1901796
dsF	chr1	+	210500000	211000000	1854845
dsF	chr1	+	211000000	211500000	1827496
dsF	chr1	+	211500000	212000000	1888901
dsF	chr1	+	212000000	212500000	1880113
dsF	chr1	+	212500000	213000000	1883972
dsF	chr1	+	213000000	213500000	1901447
dsF	chr1	+	213500000	214000000	1890857
dsF	chr1	+	214000000	214500000	1890568
dsF	chr1	+	214500000	215000000	1894621
dsF	chr1	+	215000000	215500000	1922226
dsF	chr1	+	215500000	216000000	1949272
dsF	chr1	+	216000000	216500000	1938288
dsF	chr1	+	216500000	217000000	1912273
dsF	chr1	+	217000000	217500000	1947682
dsF	chr1	+	217500000	218000000	1873136
dsF	chr1	+	218000000	218500000	1925459
dsF	chr1	+	218500000	219000000	1955515
dsF	chr1	+	219000000	219500000	1954592
dsF	chr1	+	219500000	220000000	1881110
dsF	chr1	+	220000000	220500000	1855030
dsF	chr1	+	220500000	221000000	1860375
dsF	chr1	+	221000000	221500000	1950351
dsF	chr1	+	221500000	222000000	1970388
dsF	chr1	+	222000000	222500000	1922474
dsF	chr1	+	222500000	223000000	1888501
dsF	chr1	+	223000000	223500000	1851532
dsF	chr1	+	223500000	224000000	1613965
dsF	chr1	+	224000000	224500000	1829757
dsF	chr1	+	224500000	225000000	1886458
dsF	chr1	+	225000000	225500000	1901784
dsF	chr1	+	225500000	226000000	1801390
dsF	chr1	+	226000000	226500000	1841627
dsF	chr1	+	226500000	227000000	1910392
dsF	chr1	+	227000000	227500000	1869322
dsF	chr1	+	227500000	228000000	1881548
dsF	chr1	+	228000000	228500000	1890894
dsF	chr1	+	228500000	229000000	2450291
dsF	chr1	+	229000000	229500000	1875757
dsF	chr1	+	229500000	230000000	1888728
dsF	chr1	+	230000000	230500000	1887773
dsF	chr1	+	230500000	231000000	1885538
dsF	chr1	+	231000000	231500000	1810401
dsF	chr1	+	231500000	232000000	1834243
dsF	chr1	+	232000000	232500000	1880543
dsF	chr1	+	232500000	233000000	1918296
dsF	chr1	+	233000000	233500000	1893128
dsF	chr1	+	233500000	234000000	1857292
dsF	chr1	+	234000000	234500000	1919807
dsF	chr1	+	234500000	235000000	2059780
dsF	chr1	+	235000000	235500000	1831075
dsF	chr1	+	235500000	236000000	1940474
dsF	chr1	+	236000000	236500000	1771446
dsF	chr1	+	236500000	237000000	1877242
dsF	chr1	+	237000000	237500000	1826131
dsF	chr1	+	237500000	238000000	1894332
dsF	chr1	+	238000000	238500000	1889435
dsF	chr1	+	238500000	239000000	1897583
dsF	chr1	+	239000000	239500000	1915430
dsF	chr1	+	239500000	240000000	1881890
dsF	chr1	+	240000000	240500000	1825277
dsF	chr1	+	240500000	241000000	1831217
dsF	chr1	+	241000000	241500000	1831216
dsF	chr1	+	241500000	242000000	1848275
dsF	chr1	+	242000000	242500000	1755018
dsF	chr1	+	242500000	243000000	1788356
dsF	chr1	+	243000000	243500000	1797026
dsF	chr1	+	243500000	244000000	1904378
dsF	chr1	+	244000000	244500000	1856396
dsF	chr1	+	244500000	245000000	1752878
dsF	chr1	+	245000000	245500000	1835858
dsF	chr1	+	245500000	246000000	1833140
dsF	chr1	+	246000000	246500000	1848368
dsF	chr1	+	246500000	247000000	1742344
dsF	chr1	+	247000000	247500000	1816562
dsF	chr1	+	247500000	248000000	1883032
dsF	chr1	+	248000000	248500000	1978045
dsF	chr1	+	248500000	248956422	1743777
dsF	chr1	-	0	500000	1387893
dsF	chr1	-	500000	1000000	1825860
dsF	chr1	-	1000000	1500000	1855447
dsF	chr1	-	1500000	2000000	1758727
dsF	chr1	-	2000000	2500000	1915195
dsF	chr1	-	2500000	3000000	2142277
dsF	chr1	-	3000000	3500000	1952379
dsF	chr1	-	3500000	4000000	1859198
dsF	chr1	-	4000000	4500000	1864281
dsF	chr1	-	4500000	5000000	1831208
dsF	chr1	-	5000000	5500000	1889179
dsF	chr1	-	5500000	6000000	1899242
dsF	chr1	-	6000000	6500000	1798159
dsF	chr1	-	6500000	7000000	1807973
dsF	chr1	-	7000000	7500000	1840513
dsF	chr1	-	7500000	8000000	1823212
dsF	chr1	-	8000000	8500000	1740419
dsF	chr1	-	8500000	9000000	1790453
dsF	chr1	-	9000000	9500000	1781628
dsF	chr1	-	9500000	10000000	1735206
dsF	chr1	-	10000000	10500000	1752609
dsF	chr1	-	10500000	11000000	1847801
dsF	chr1	-	11000000	11500000	1781636
dsF	chr1	-	11500000	12000000	1818257
dsF	chr1	-	12000000	12500000	1891781
dsF	chr1	-	12500000	13000000	1623706
dsF	chr1	-	13000000	13500000	1577682
dsF	chr1	-	13500000	14000000	1809940
dsF	chr1	-	14000000	14500000	1870929
dsF	chr1	-	14500000	15000000	1768237
dsF	chr1	-	15000000	15500000	1864507
dsF	chr1	-	15500000	16000000	1772723
dsF	chr1	-	16000000	16500000	1831585
dsF	chr1	-	16500000	17000000	3036795
dsF	chr1	-	17000000	17500000	1760963
dsF	chr1	-	17500000	18000000	1854303
dsF	chr1	-	18000000	18500000	1841988
dsF	chr1	-	18500000	19000000	1907499
dsF	chr1	-	19000000	19500000	1822441
dsF	chr1	-	19500000	20000000	1819957
dsF	chr1	-	20000000	20500000	1873945
dsF	chr1	-	20500000	21000000	1859060
dsF	chr1	-	21000000	21500000	1772383
dsF	chr1	-	21500000	22000000	1825909
dsF	chr1	-	22000000	22500000	1904403
dsF	chr1	-	22500000	23000000	1860641
dsF	chr1	-	23000000	23500000	1770138
dsF	chr1	-	23500000	24000000	1805842
dsF	chr1	-	24000000	24500000	1853454
dsF	chr1	-	24500000	25000000	1871976
dsF	chr1	-	25000000	25500000	1707582
dsF	chr1	-	25500000	26000000	1822976
dsF	chr1	-	26000000	26500000	1807045
dsF	chr1	-	26500000	27000000	1797634
dsF	chr1	-	27000000	27500000	1710076
dsF	chr1	-	27500000	28000000	1860192
dsF	chr1	-	28000000	28500000	1791234
dsF	chr1	-	28500000	29000000	1712865
dsF	chr1	-	29000000	29500000	1835787
dsF	chr1	-	29500000	30000000	1916512
dsF	chr1	-	30000000	30500000	1916656
dsF	chr1	-	30500000	31000000	1942557
dsF	chr1	-	31000000	31500000	1743125
dsF	chr1	-	31500000	32000000	1911349
dsF	chr1	-	32000000	32500000	1786833
dsF	chr1	-	32500000	33000000	1751477
dsF	chr1	-	33000000	33500000	1886318
dsF	chr1	-	33500000	34000000	1908330
dsF	chr1	-	34000000	34500000	1837794
dsF	chr1	-	34500000	35000000	1866429
dsF	chr1	-	35000000	35500000	1799345
dsF	chr1	-	35500000	36000000	1859441
dsF	chr1	-	36000000	36500000	1870952
dsF	chr1	-	36500000	37000000	1926240
dsF	chr1	-	37000000	37500000	1863539
dsF	chr1	-	37500000	38000000	1815115
dsF	chr1	-	38000000	38500000	1909376
dsF	chr1	-	38500000	39000000	1836562
dsF	chr1	-	39000000	39500000	1793846
dsF	chr1	-	39500000	40000000	1801615
dsF	chr1	-	40000000	40500000	1855733
dsF	chr1	-	40500000	41000000	1827709
dsF	chr1	-	41000000	41500000	1931680
dsF	chr1	-	41500000	42000000	1983372
dsF	chr1	-	42000000	42500000	1917277
dsF	chr1	-	42500000	43000000	1875212
dsF	chr1	-	43000000	43500000	1857683
dsF	chr1	-	43500000	44000000	1841146
dsF	chr1	-	44000000	44500000	1855832
dsF	chr1	-	44500000	45000000	1852997
dsF	chr1	-	45000000	45500000	1866484
dsF	chr1	-	45500000	46000000	1797525
dsF	chr1	-	46000000	46500000	1811006
dsF	chr1	-	46500000	47000000	1851429
dsF	chr1	-	47000000	47500000	1820912
dsF	chr1	-	47500000	48000000	1903491
dsF	chr1	-	48000000	48500000	1918185
dsF	chr1	-	48500000	49000000	1929507
dsF	chr1	-	49000000	49500000	1911880
dsF	chr1	-	49500000	50000000	1915787
dsF	chr1	-	50000000	50500000	1836850
dsF	chr1	-	50500000	51000000	1893695
dsF	chr1	-	51000000	51500000	1828055
dsF	chr1	-	51500000	52000000	1880689
dsF	chr1	-	52000000	52500000	1781603
dsF	chr1	-	52500000	53000000	1774779
dsF	chr1	-	53000000	53500000	1903140
dsF	chr1	-	53500000	54000000	1882812
dsF	chr1	-	54000000	54500000	1822500
dsF	chr1	-	54500000	55000000	1827850
dsF	chr1	-	55000000	55500000	1902843
dsF	chr1	-	55500000	56000000	1920030
dsF	chr1	-	56000000	56500000	1829372
dsF	chr1	-	56500000	57000000	1863450
dsF	chr1	-	57000000	57500000	1882899
dsF	chr1	-	57500000	58000000	1882347
dsF	chr1	-	58000000	58500000	1944885
dsF	chr1	-	58500000	59000000	1941750
dsF	chr1	-	59000000	59500000	1976189
dsF	chr1	-	59500000	60000000	1895991
dsF	chr1	-	60000000	60500000	1979768
dsF	chr1	-	60500000	61000000	1902319
dsF	chr1	-	61000000	61500000	1912454
dsF	chr1	-	61500000	62000000	1833880
dsF	chr1	-	62000000	62500000	1732155
dsF	chr1	-	62500000	63000000	1865989
dsF	chr1	-	63000000	63500000	1923508
dsF	chr1	-	63500000	64000000	1878140
dsF	chr1	-	64000000	64500000	1886605
dsF	chr1	-	64500000	65000000	1899231
dsF	chr1	-	65000000	65500000	1895939
dsF	chr1	-	65500000	66000000	1875280
dsF	chr1	-	66000000	66500000	1983733
dsF	chr1	-	66500000	67000000	1951445
dsF	chr1	-	67000000	67500000	1989581
dsF	chr1	-	67500000	68000000	1928421
dsF	chr1	-	68000000	68500000	1890576
dsF	chr1	-	68500000	69000000	1915348
dsF	chr1	-	69000000	69500000	1914174
